Date,Total Value ($)
2026-01-22 04:20,181.48
2026-01-22 04:57,181.48
2026-01-22 05:06,181.48
2026-01-22 05:46,181.48
2026-01-22 05:58,181.48
2026-01-22 06:53,181.48
2026-01-22 07:39,181.48
2026-01-22 07:53,181.48
2026-01-22 08:50,181.48
2026-01-22 09:46,181.48
2026-01-22 09:59,181.48
2026-01-22 10:47,181.48
2026-01-22 11:27,181.48
2026-01-22 11:34,181.48
2026-01-22 11:39,181.48
2026-01-22 11:43,181.48
2026-01-22 11:53,181.48
2026-01-22 12:31,181.48
2026-01-22 12:38,250.48
2026-01-22 12:48,250.48
2026-01-22 12:57,250.48
2026-01-22 13:07,250.48
2026-01-22 13:12,250.48
2026-01-22 13:13,250.48
2026-01-22 13:38,250.48
2026-01-22 13:55,250.48
2026-01-22 14:28,250.48
2026-01-22 14:34,250.48
2026-01-22 14:39,250.48
2026-01-22 14:48,250.48
